"zona","perc_rete_","perc_ret_1","gestore","id","nome","codice_ist","codice_azi","area"
"PISA PONTEDERA",0,0,"ATO2",20066834,"VECCHIANO",50037,67,"PISA PONTEDERA"
"PISA PONTEDERA",0,0,"ATO2",20066850,"SAN GIULIANO TERME",50031,68,"PISA PONTEDERA"
"PISA PONTEDERA",0,0,"ATO2",20066973,"PISA",50026,66,"PISA PONTEDERA"
"EMPOLI VALDELSA",0,0,"ATO2",20066969,"POGGIBONSI",52022,12,"EMPOLESE VALDELSA"
"MUGELLO VALDISIE",0,91,"ATO3",37383693,"BARBERINO DI MUGELLO",48002,21,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",98,0,"ATO3",37383701,"BORGO SAN LORENZO",48004,19,"MUGELLO VALDISIEVE VALDARNO"
"PRATO PISTOIA",0,0,"ATO3",37383705,"CALENZANO",48005,4,"PRATO PISTOIA"
"PRATO PISTOIA",0,0,"ATO3",37383713,"CANTAGALLO",100001,9,"PRATO PISTOIA"
"MUGELLO VALDISIE",0,0,"ATO3",37383729,"DICOMANO",48013,32,"MUGELLO VALDISIEVE VALDARNO"
"FIRENZE",0,0,"ATO3",37383737,"FIRENZE",48017,30,"FIRENZE CHIANTI"
"PRATO PISTOIA",108,91,"ATO3",37383777,"PISTOIA",47014,90,"PRATO PISTOIA"
"MUGELLO VALDISIE",94,0,"ATO3",37383813,"SAN GODENZO",48039,44,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",0,0,"ATO3",37383817,"SAN PIERO A SIEVE",48040,20,"MUGELLO VALDISIEVE VALDARNO"
"FIRENZE",99,0,"ATO3",37383821,"SCANDICCI",48041,3,"FIRENZE CHIANTI"
"MUGELLO VALDISIE",91,0,"ATO3",37383825,"SCARPERIA",48042,17,"MUGELLO VALDISIEVE VALDARNO"
"PRATO PISTOIA",90,0,"ATO3",37383833,"SESTO FIORENTINO",48043,2,"PRATO PISTOIA"
"FIRENZE",0,0,"ATO3",37383841,"TAVARNELLE VAL DI PESA",48045,62,"FIRENZE CHIANTI"
"MUGELLO VALDISIE",97,0,"ATO3",37383861,"VICCHIO",48049,46,"MUGELLO VALDISIEVE VALDARNO"
"PRATO PISTOIA",99,0,"ATO3",37383873,"MONTALE",47010,96,"PRATO PISTOIA"
"FIRENZE",0,0,"ATO3",37383697,"BARBERINO VAL D'ELSA",48003,63,"FIRENZE CHIANTI"
"FIRENZE",0,90,"ATO3",37383805,"SAN CASCIANO VAL DI PESA",48038,61,"FIRENZE CHIANTI"
"LUCCHESIA VALDIN",0,0,"ATO2",20066830,"MARLIANA",47007,22,"LUCCHESIA VALDINIEVOLE"
"LUCCHESIA VALDIN",0,0,"ATO2",20066981,"PESCIA",47012,64,"LUCCHESIA VALDINIEVOLE"
"PRATO PISTOIA",0,0,"ATO3",37383877,"SAMBUCA PISTOIESE",47018,43,"PRATO PISTOIA"
"PRATO PISTOIA",0,0,"ATO3",37383857,"VERNIO",100007,13,"PRATO PISTOIA"
"MUGELLO VALDISIE",0,0,"ATO3",37383721,"CASTELFRANCO DI SOPRA",51009,31,"MUGELLO VALDISIEVE VALDARNO"
"FIRENZE",0,0,"ATO3",37383741,"GREVE IN CHIANTI",48021,53,"FIRENZE CHIANTI"
"FIRENZE",93,0,"ATO3",37383745,"IMPRUNETA",48022,54,"FIRENZE CHIANTI"
"MUGELLO VALDISIE",98,92,"ATO3",37383753,"LONDA",48025,35,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",0,0,"ATO3",37383757,"LORO CIUFFENNA",51020,36,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",0,0,"ATO3",37383765,"MONTEVARCHI",51026,37,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",112,0,"ATO3",37383773,"PIAN DI SCO",51029,55,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",118,0,"ATO3",37383793,"REGGELLO",48035,40,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",0,0,"ATO3",37383845,"TERRANUOVA BRACCIOLINI",51039,45,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",0,0,"ATO3",37383865,"INCISA IN VAL D'ARNO",48023,34,"MUGELLO VALDISIEVE VALDARNO"
"FIRENZE",93,0,"ATO3",37383689,"BAGNO A RIPOLI",48001,51,"FIRENZE CHIANTI"
"MUGELLO VALDISIE",29,0,"ATO3",37383781,"PONTASSIEVE",48033,39,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",99,0,"ATO3",37383797,"RIGNANO SULL'ARNO",48036,41,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",0,0,"ATO3",37383801,"RUFINA",48037,42,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",0,0,"ATO3",37383849,"VAGLIA",48046,16,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",80,0,"ATO3",37383769,"PELAGO",48032,38,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",103,0,"ATO3",37383725,"CAVRIGLIA",51013,52,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",0,0,"ATO3",37383733,"FIGLINE VALDARNO",48016,33,"MUGELLO VALDISIEVE VALDARNO"
"MUGELLO VALDISIE",102,0,"ATO3",37383809,"SAN GIOVANNI VALDARNO",51033,56,"MUGELLO VALDISIEVE VALDARNO"
"EMPOLI VALDELSA",0,0,"ATO2",20066913,"SAN MINIATO",50032,55,"EMPOLESE VALDELSA"
"PISA PONTEDERA",0,0,"ATO2",20066921,"PALAIA",50024,9,"PISA PONTEDERA"
"PISA PONTEDERA",0,0,"ATO2",20066957,"LAJATICO",50016,51,"PISA PONTEDERA"
"PISA PONTEDERA",0,0,"ATO2",20066961,"PECCIOLI",50025,43,"PISA PONTEDERA"
"PISA PONTEDERA",0,0,"ATO2",20067045,"SANTA MARIA A MONTE",50035,47,"PISA PONTEDERA"
"PISA PONTEDERA",0,0,"ATO2",20067057,"VICOPISANO",50038,44,"PISA PONTEDERA"
"PISA PONTEDERA",0,0,"ATO2",20067053,"CASCINA",50008,56,"PISA PONTEDERA"
"EMPOLI VALDELSA",0,0,"ATO2",20067009,"MONTESPERTOLI",48030,11,"EMPOLESE VALDELSA"
"LUCCHESIA VALDIN",0,0,"ATO2",20067037,"PONTE BUGGIANESE",47016,910,"LUCCHESIA VALDINIEVOLE"
"LUCCHESIA VALDIN",0,0,"ATO2",20067017,"MONTECATINI TERME",47011,909,"LUCCHESIA VALDINIEVOLE"
"PISA PONTEDERA",0,0,"ATO2",20066882,"CALCINAIA",50004,59,"PISA PONTEDERA"
"EMPOLI VALDELSA",0,0,"ATO2",20067005,"EMPOLI",48014,1,"EMPOLESE VALDELSA"
"PISA PONTEDERA",0,0,"ATO2",20066905,"SANTA CROCE SULL'ARNO",50033,46,"PISA PONTEDERA"
"EMPOLI VALDELSA",0,0,"ATO2",20067029,"FUCECCHIO",48019,7,"EMPOLESE VALDELSA"
"PISA PONTEDERA",0,0,"ATO2",20066917,"MONTOPOLI IN VAL D'ARNO",50022,54,"PISA PONTEDERA"
"LUCCHESIA VALDIN",0,0,"ATO2",20066842,"PORCARI",46026,71,"LUCCHESIA VALDINIEVOLE"
"PISA PONTEDERA",0,0,"ATO2",20066977,"BUTI",50002,48,"PISA PONTEDERA"
"LUCCHESIA VALDIN",0,0,"ATO2",20067041,"CHIESINA UZZANESE",47022,23,"LUCCHESIA VALDINIEVOLE"
"LUCCHESIA VALDIN",0,0,"ATO2",20066858,"ALTOPASCIO",46001,73,"LUCCHESIA VALDINIEVOLE"
"LUCCHESIA VALDIN",0,0,"ATO2",20066846,"MONTECARLO",46021,72,"LUCCHESIA VALDINIEVOLE"
"LUCCHESIA VALDIN",0,0,"ATO2",20066838,"CAPANNORI",46007,70,"LUCCHESIA VALDINIEVOLE"
"LUCCHESIA VALDIN",0,0,"ATO2",20066866,"BUGGIANO",47003,24,"LUCCHESIA VALDINIEVOLE"
"LUCCHESIA VALDIN",0,0,"ATO2",20066862,"UZZANO",47021,13,"LUCCHESIA VALDINIEVOLE"
"LUCCHESIA VALDIN",0,0,"ATO2",20066985,"MASSA E COZZILE",47008,14,"LUCCHESIA VALDINIEVOLE"
"LUCCHESIA VALDIN",0,0,"ATO2",20067061,"VILLA BASILICA",46034,65,"LUCCHESIA VALDINIEVOLE"
"PISA PONTEDERA",0,0,"ATO2",20066902,"SANTA CROCE SULL'ARNO",50033,46,"PISA PONTEDERA"
"PISA PONTEDERA",0,0,"ATO2",20067049,"BIENTINA",50001,50,"PISA PONTEDERA"
"PISA PONTEDERA",0,0,"ATO2",20066854,"CASTELFRANCO DI SOTTO",50009,52,"PISA PONTEDERA"
"PISA PONTEDERA",0,0,"ATO2",74016119,"CASTELFRANCO DI SOTTO",50009,52,"PISA PONTEDERA"
"PISA PONTEDERA",0,0,"ATO2",20066878,"CALCI",50003,69,"PISA PONTEDERA"
"EMPOLI VALDELSA",0,0,"ATO2",20066909,"CAPRAIA E LIMITE",48008,5,"EMPOLESE VALDELSA"
"LUCCHESIA VALDIN",0,0,"ATO2",20066989,"MONSUMMANO TERME",47009,20,"LUCCHESIA VALDINIEVOLE"
"PRATO PISTOIA",99,93,"ATO3",37383709,"CAMPI BISENZIO",48006,7,"PRATO PISTOIA"
"PRATO PISTOIA",97,0,"ATO3",37383717,"CARMIGNANO",100002,8,"PRATO PISTOIA"
