"NAME";"LATITUDE";"LONGITUDE";"NORTH";"SOUTH";"EAST";"WEST"
"Denominazione regione";"41.9899898766282";"12.4546363170048";"6.62726545333862";"18.7844753265381";"47.0921478271484";"35.2889595031738"
"Piemonte";"45.0607357005057";"7.92353706582026";"6.62726545333862";"9.21424102783203";"46.4642219543457";"44.0611000061035"
"Valle d'Aosta/Vallée d'Aoste";"41.9899898766282";"12.4546363170048";"6.62726545333862";"18.7844753265381";"47.0921478271484";"35.2889595031738"
"Lombardia";"45.6209481260207";"9.7687965045237";"8.49785137176514";"11.4294080734253";"46.6353530883789";"44.6799087524414"
"Trentino-Alto Adige/Südtirol";"46.1351296955465";"11.1207103668683";"10.4522047042847";"11.962685585022";"46.5327644348145";"45.6729698181152"
"Veneto";"45.6517965301244";"11.8584755119451";"10.6231479644775";"13.1032037734985";"46.6813354492188";"44.7953567504883"
"Friuli-Venezia Giulia";"46.1510416394377";"13.0559041099604";"12.3213806152344";"13.9186553955078";"46.6479415893555";"45.5808868408203"
"Liguria";"44.2651639901164";"8.70674546802893";"7.49547958374023";"10.0720357894897";"44.6764450073242";"43.7757034301758"
"Emilia-Romagna";"44.5261816576506";"11.0386350325861";"9.19791126251221";"12.7556409835815";"45.1400756835938";"43.7318992614746"
"Toscana";"43.4507461529712";"11.1264131944229";"9.68673038482666";"12.3713550567627";"44.472599029541";"42.2376022338867"
"Umbria";"42.9661019065001";"12.4902165935359";"11.8918867111206";"13.2650928497314";"43.6173477172852";"42.3644485473633"
"Marche";"43.3484092234657";"13.1378186796932";"12.185453414917";"13.9166631698608";"43.9709930419922";"42.6874504089355"
"Lazio";"41.9801121065979";"12.7670034835047";"11.4491691589355";"14.027645111084";"42.8387489318848";"40.7848701477051"
"Abruzzo";"42.2276806900361";"13.8549835142884";"13.0194053649902";"14.7838897705078";"42.8949508666992";"41.6830787658691"
"Molise";"41.6846715155414";"14.5956135039385";"13.941014289856";"15.1554937362671";"42.0702857971191";"41.3639602661133"
"Campania";"40.8598891312824";"14.8397837169006";"13.7621116638184";"15.8064470291138";"41.5083541870117";"39.9905548095703"
"Puglia";"40.9849323443832";"16.6203875177885";"14.9349689483643";"18.5211505889893";"42.1436500549316";"39.7931098937988"
"Basilicata";"40.5005835966114";"16.0819813470993";"15.3349704742432";"16.8679580688477";"41.1409034729004";"39.8958053588867"
"Calabria";"39.0682862834481";"16.3481057143449";"15.6298933029175";"17.2067108154297";"40.1449279785156";"37.9157829284668"
"Sicilia";"37.5884612974606";"14.1464693734451";"11.925856590271";"15.6532392501831";"38.8120040893555";"35.4930572509766"
"Sardegna";"40.0855882702794";"9.0320453118773";"8.1307258605957";"9.82931995391846";"41.2695770263672";"38.8640098571777"
